Páginas principais,Cliques,Impressões,CTR,Posição
https://confenge.com.br/conteudos/bdi-diferenciado-obra-publica/,2,24,8.33%,9.29
http://confenge.com.br/,1,27,3.7%,5.85
https://confenge.com.br/conteudos/fiscal-nao-assina-medicao-obra-publica/,1,12,8.33%,6.67
https://confenge.com.br/conteudos/pagamento-parcial-etapa-empreitada-global/,1,7,14.29%,5.43
https://confenge.com.br/conteudos/prorrogacao-prazo-obra-publica-documentos/,1,6,16.67%,5.67
https://confenge.com.br/conteudos/desconto-da-proposta-em-item-novo-aditivo/,1,4,25%,7
https://confenge.com.br/conteudos/sinapi-ou-sicro-obra-publica/,1,4,25%,7.5
https://confenge.com.br/conteudos/comprovacao-exequibilidade-proposta-obra/,1,4,25%,25.5
https://confenge.com.br/contato,1,2,50%,2.5
https://confenge.com.br/conteudos/sinapi-desonerado-nao-desonerado/,0,88,0%,7.75
https://confenge.com.br/conteudos/limite-aditivo-25-50-obra-publica/,0,24,0%,17
https://confenge.com.br/,0,22,0%,17.45
https://confenge.com.br/conteudos/demolicao-nao-prevista-obra-publica/,0,10,0%,7
https://confenge.com.br/conteudos/atraso-pagamento-contrato-publico-suspender/,0,10,0%,8.4
https://confenge.com.br/conteudos/mobilizacao-desmobilizacao-orcamento-obra/,0,10,0%,24.4
https://confenge.com.br/conteudos/administracao-local-orcamento-obra-publica/,0,9,0%,6.89
https://confenge.com.br/conteudos/atraso-obra-culpa-administracao/,0,6,0%,6.33
https://confenge.com.br/conteudos/aditivo-empreitada-por-preco-global/,0,5,0%,3.8
https://confenge.com.br/conteudos/resposta-notificacao-atraso-obra-publica/,0,5,0%,5.8
https://confenge.com.br/conteudos/data-base-orcamento-reajuste-obra-publica/,0,5,0%,8.8
https://confenge.com.br/conteudos/medicao-por-evento-obra-publica/,0,4,0%,1.5
https://confenge.com.br/avcbclcb,0,4,0%,2
https://confenge.com.br/servicos,0,4,0%,4.75
https://confenge.com.br/vision,0,4,0%,4.75
https://confenge.com.br/conteudos/glosa-por-qualidade-obra-publica/,0,4,0%,6.5
https://confenge.com.br/conteudos/atraso-na-medicao-obra-publica/,0,4,0%,7.25
https://confenge.com.br/conteudos/erro-de-projeto-gera-aditivo-obra-publica/,0,3,0%,2.33
https://confenge.com.br/conteudos/divergencia-quantitativo-medicao-as-built/,0,3,0%,3
https://confenge.com.br/conteudos/criterio-de-medicao-nao-previsto-contrato/,0,3,0%,4.33
https://confenge.com.br/terms-and-conditions,0,3,0%,4.33
https://confenge.com.br/privacy-policy,0,3,0%,4.67
https://confenge.com.br/conteudos/medicao-de-obra-publica-rejeitada/,0,3,0%,7.33
https://confenge.com.br/conteudos/,0,3,0%,8.33
https://confenge.com.br/auditoria-orcamento-licitacao/,0,3,0%,8.67
https://confenge.com.br/conteudos/empreitada-preco-global-preco-unitario/,0,3,0%,12.33
https://confenge.com.br/trabalhe-conosco,0,2,0%,6
https://confenge.com.br/diagnostico-pre-licitacao/,0,2,0%,6.5
https://confenge.com.br/blog,0,2,0%,9
https://confenge.com.br/reequilibrio-obras-publicas/,0,2,0%,9
https://confenge.com.br/conteudos/calculo-reequilibrio-economico-financeiro/,0,2,0%,10.5
https://confenge.com.br/conteudos/multa-atraso-parcial-contrato-publico/,0,1,0%,1
https://confenge.com.br/conteudos/quantitativo-insuficiente-planilha-obra-publica/,0,1,0%,1
https://confenge.com.br/conteudos/atraso-projeto-executivo-obra-publica/,0,1,0%,2
https://confenge.com.br/conteudos/composicao-propria-preco-obra-publica/,0,1,0%,2
https://confenge.com.br/conteudos/fiscal-mandou-executar-sem-aditivo/,0,1,0%,2
https://confenge.com.br/conteudos/recuperar-contrato-obra-publica-problematico/,0,1,0%,2
https://confenge.com.br/conteudos/reequilibrio-empreitada-preco-global/,0,1,0%,4
https://confenge.com.br/conteudos/mudanca-metodo-construtivo-obra-publica-aditivo/,0,1,0%,5
https://confenge.com.br/conteudos/rescisao-unilateral-contrato-obra-publica/,0,1,0%,5
https://confenge.com.br/privacidade,0,1,0%,5
https://confenge.com.br/conteudos/reequilibrio-antes-da-prorrogacao-contrato/,0,1,0%,6
https://confenge.com.br/acompanhamento-contratos-obras/,0,1,0%,7
https://confenge.com.br/conteudos/parcela-incontroversa-medicao-contrato-publico/,0,1,0%,8
https://confenge.com.br/conteudos/reajuste-repactuacao-reequilibrio-diferenca/,0,1,0%,8
https://confenge.com.br/nexgen,0,1,0%,9
https://confenge.com.br/conteudos/troca-responsavel-tecnico-contrato-publico/,0,1,0%,10
https://confenge.com.br/conteudos/diario-de-obra-pleito-contrato-publico/,0,1,0%,11
https://confenge.com.br/conteudos/gestao-contrato-obra-publica-indicadores/,0,1,0%,11
https://confenge.com.br/conteudos/reequilibrio-economico-financeiro-obra-publica/,0,1,0%,11
