page_id,url,query_target,dominant_intent,funnel_stage,existing_competitor,exclusive_info,icp_fit,conversion_potential,decision,status_now,human_review
market-pavimentacao-infraestrutura-viaria-sc,/inteligencia/mercados/pavimentacao-infraestrutura-viaria-sc/,Quanto o poder público contratou em Pavimentação e infraestrutura viária — Santa,mapear mercado público,topo,,dados públicos do datalake (se independência amostral OK),engineering_contractors_B2G,mid,noindex,reject,PENDING
market-pavimentacao-infraestrutura-viaria-pi,/inteligencia/mercados/pavimentacao-infraestrutura-viaria-pi/,Quanto o poder público contratou em Pavimentação e infraestrutura viária — Piauí,mapear mercado público,topo,,dados públicos do datalake (se independência amostral OK),engineering_contractors_B2G,mid,noindex,reject,PENDING
market-edificacoes-publicas-mg,/inteligencia/mercados/edificacoes-publicas-mg/,Quanto o poder público contratou em Edificações públicas — Minas Gerais,mapear mercado público,topo,,dados públicos do datalake (se independência amostral OK),engineering_contractors_B2G,mid,noindex,reject,PENDING
market-edificacoes-publicas-rs,/inteligencia/mercados/edificacoes-publicas-rs/,Quanto o poder público contratou em Edificações públicas — Rio Grande do Sul,mapear mercado público,topo,,dados públicos do datalake (se independência amostral OK),engineering_contractors_B2G,mid,noindex,reject,PENDING
agency-88830609,/inteligencia/orgaos/mrs-prefeitura-municipal-de-caxias-do-sul-rs/engenharia/,Contratação de engenharia em MRS-PREFEITURA MUNICIPAL DE CAXIAS DO SUL: o que os,avaliar órgão comprador,consideração,,histórico do órgão se primários independentes,engineering_contractors_B2G,mid,reject,noindex,NEEDS_DATA_FIX
price-manutencao-predial-engenharia-rs-manutencao-predial,/inteligencia/precos/manutencao-predial-engenharia-rs-manutencao-predial/,Dispersão de valores contratados — manutencao predial (manutencao-predial-engenh,estimar faixa de valores contratuais,consideração,,faixa de tickets contratuais se diversidade OK,engineering_contractors_B2G,mid,noindex,noindex,NEEDS_DATA_FIX
price-pavimentacao-infraestrutura-viaria-pi-paralelepipedo,/inteligencia/precos/pavimentacao-infraestrutura-viaria-pi-paralelepipedo/,Dispersão de valores contratados — paralelepipedo (pavimentacao-infraestrutura-v,estimar faixa de valores contratuais,consideração,,faixa de tickets contratuais se diversidade OK,engineering_contractors_B2G,mid,noindex,noindex,NEEDS_DATA_FIX
comp-manutencao-predial-engenharia-rs,/inteligencia/concorrencia/manutencao-predial-engenharia-rs/,Fornecedores observados em Manutenção predial e serviços de engenharia — Rio Gra,compreender concorrência observada,consideração,,dados públicos do datalake (se independência amostral OK),engineering_contractors_B2G,mid,noindex,reject,PENDING
radar-edificacoes-publicas-pr,/radar/edificacoes-publicas-pr/,Oportunidades abertas em Edificações públicas — Parana,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,NEEDS_DATA_FIX
radar-pavimentacao-infraestrutura-viaria-sc,/radar/pavimentacao-infraestrutura-viaria-sc/,Oportunidades abertas em Pavimentação e infraestrutura viária — Santa Catarina,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,NEEDS_DATA_FIX
radar-saneamento-hidraulica-sc,/radar/saneamento-hidraulica-sc/,Oportunidades abertas em Saneamento e hidráulica — Santa Catarina,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,PENDING
radar-pavimentacao-infraestrutura-viaria-rs,/radar/pavimentacao-infraestrutura-viaria-rs/,Oportunidades abertas em Pavimentação e infraestrutura viária — Rio Grande do Su,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,PENDING
radar-edificacoes-publicas-sc,/radar/edificacoes-publicas-sc/,Oportunidades abertas em Edificações públicas — Santa Catarina,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,PENDING
radar-pavimentacao-infraestrutura-viaria-pr,/radar/pavimentacao-infraestrutura-viaria-pr/,Oportunidades abertas em Pavimentação e infraestrutura viária — Parana,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,PENDING
