url,page_type,title,search_intent,cluster,http_status_production,canonical,robots,in_sitemap,in_hub,in_feed,internal_links_in,editorial_status,human_approval,traffic,backlinks,cta,commercial_service,similarity_notes,disposition,journey,notes,path
/,home,Homepage CONFENGE,Homepage CONFENGE,,UNVERIFIED,https://confenge.com.br/,"index,follow",True,True,True,,,,NO_DATA,NO_DATA,,diretoria-b2g,,KEEP_AND_IMPROVE,operacao,,
/diagnostico-b2g-360/,offer,Diagnóstico da operação de licitações e contratos públicos,Diagnóstico da operação de licitações e contratos públicos,,UNVERIFIED,https://confenge.com.br/diagnostico-b2g-360/,"index,follow",True,False,False,,,,NO_DATA,NO_DATA,,diretoria-b2g,,KEEP_AND_IMPROVE,operacao,offer_id=diagnostico-b2g-360,
/diretoria-b2g/,offer,Rotina contínua de decisão em licitações e contratos públicos,Rotina contínua de decisão em licitações e contratos públicos,,UNVERIFIED,https://confenge.com.br/diretoria-b2g/,"index,follow",True,True,False,,,,NO_DATA,NO_DATA,,diretoria-b2g,,KEEP_AND_IMPROVE,operacao,offer_id=diretoria-b2g,
/bid-room-licitacoes-obras/,offer,Sala de decisão da proposta em licitação de obras,Sala de decisão da proposta em licitação de obras,,UNVERIFIED,https://confenge.com.br/bid-room-licitacoes-obras/,"index,follow",True,True,False,,,,NO_DATA,NO_DATA,,bid-room,,KEEP_AND_IMPROVE,edital,offer_id=bid-room,
/defesa-margem-contratos-publicos/,offer,Defesa técnica e proteção de margem em contratos públicos,Defesa técnica e proteção de margem em contratos públicos,,UNVERIFIED,https://confenge.com.br/defesa-margem-contratos-publicos/,"index,follow",True,True,False,,,,NO_DATA,NO_DATA,,contract-defense,,KEEP_AND_IMPROVE,contrato,offer_id=contract-defense,
/medicoes-glosas-obras-publicas/,pillar,"Medições, glosas e pagamentos em obras públicas | CONFENGE","Medições, glosas e pagamentos em obras públicas | CONFENGE",medicoes,UNVERIFIED,https://confenge.com.br/medicoes-glosas-obras-publicas/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",True,True,False,,,,NO_DATA,NO_DATA,,contract-defense,,KEEP_AND_IMPROVE,contrato,,medicoes-glosas-obras-publicas/index.html
/aditivos-obras-publicas/,pillar,"Aditivos em obras públicas: limites, serviços extras e pleitos | CONFENGE","Aditivos em obras públicas: limites, serviços extras e pleitos | CONFENGE",aditivos,UNVERIFIED,https://confenge.com.br/aditivos-obras-publicas/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",True,True,False,,,,NO_DATA,NO_DATA,,contract-defense,,KEEP_AND_IMPROVE,contrato,,aditivos-obras-publicas/index.html
/reequilibrio-obras-publicas/,pillar,Reequilíbrio econômico-financeiro de contratos de obras | CONFENGE,Reequilíbrio econômico-financeiro de contratos de obras | CONFENGE,reequilibrio,UNVERIFIED,https://confenge.com.br/reequilibrio-obras-publicas/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",True,True,False,,,,NO_DATA,NO_DATA,,contract-defense,,KEEP_AND_IMPROVE,contrato,,reequilibrio-obras-publicas/index.html
/atrasos-prorrogacao-obras-publicas/,pillar,"Atrasos, prorrogação e paralisação em obras públicas | CONFENGE","Atrasos, prorrogação e paralisação em obras públicas | CONFENGE",atrasos,UNVERIFIED,https://confenge.com.br/atrasos-prorrogacao-obras-publicas/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",True,True,False,,,,NO_DATA,NO_DATA,,contract-defense,,KEEP_AND_IMPROVE,contrato,,atrasos-prorrogacao-obras-publicas/index.html
/defesa-tecnica-contratos-publicos/,pillar,"Defesa técnica, sanções e extinção de contratos públicos | CONFENGE","Defesa técnica, sanções e extinção de contratos públicos | CONFENGE",defesa,UNVERIFIED,https://confenge.com.br/defesa-tecnica-contratos-publicos/,"index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1",True,True,False,,,,NO_DATA,NO_DATA,,contract-defense,,KEEP_AND_IMPROVE,contrato,,defesa-tecnica-contratos-publicos/index.html
