Página,Dispositivo,Cliques,Impressões,CTR,Posição
https://confenge.com.br/conteudos/sinapi-desonerado-nao-desonerado/,Computador,1,62,1.12%,7.27
https://confenge.com.br/conteudos/sinapi-desonerado-nao-desonerado/,Celular,0,27,0%,7.77
https://confenge.com.br/conteudos/aditivo-qualitativo-quantitativo/,Computador,0,15,0%,6.09
https://confenge.com.br/conteudos/aditivo-qualitativo-quantitativo/,Celular,0,7,0%,6.59
https://confenge.com.br/conteudos/prazo-vigencia-prazo-execucao-contrato-obra/,Computador,0,12,0%,7.0
https://confenge.com.br/conteudos/prazo-vigencia-prazo-execucao-contrato-obra/,Celular,0,6,0%,7.5
https://confenge.com.br/conteudos/chuva-prorrogacao-prazo-obra-publica/,Computador,0,11,0%,3.35
https://confenge.com.br/conteudos/chuva-prorrogacao-prazo-obra-publica/,Celular,0,6,0%,3.85
https://confenge.com.br/conteudos/bdi-diferenciado-obra-publica/,Computador,2,7,18.18%,6.27
https://confenge.com.br/conteudos/bdi-diferenciado-obra-publica/,Celular,0,4,0%,6.77
https://confenge.com.br/conteudos/glosa-de-medicao-obra-publica/,Computador,1,5,12.5%,4.0
https://confenge.com.br/conteudos/glosa-de-medicao-obra-publica/,Celular,0,3,0%,4.5
https://confenge.com.br/conteudos/curva-abc-reequilibrio-contrato/,Computador,1,4,14.29%,4.43
https://confenge.com.br/conteudos/curva-abc-reequilibrio-contrato/,Celular,0,3,0%,4.93
https://confenge.com.br/conteudos/medicao-de-obra-publica-rejeitada/,Computador,1,4,16.67%,5.5
https://confenge.com.br/conteudos/medicao-de-obra-publica-rejeitada/,Celular,0,2,0%,6.0
