Top consultas,Cliques,Impressões,CTR,Posição
desonerado e não desonerado,0,10,0%,9.2
não desonerado,0,6,0%,6.67
sinapi desonerado ou não desonerado qual usar,0,5,0%,6.6
aditivos obra pública,0,5,0%,66.2
desonerado ou não desonerado,0,4,0%,9
como calcular mobilização e desmobilização de obra,0,4,0%,31.5
avcb,0,3,0%,4.33
empreitada por preço unitário,0,2,0%,16
bdi diferenciado,0,2,0%,20
mobilização de obra,0,2,0%,47
coenge,0,2,0%,61.5
ia,0,1,0%,9
nao desonerado,0,1,0%,10
tecnico edificacoes,0,1,0%,10
desonerado e não desonerado sinapi,0,1,0%,11
mobilização e desmobilização de obra,0,1,0%,13
smartenge engenharia,0,1,0%,35
consenge,0,1,0%,54
comprovação de exequibilidade,0,1,0%,55
conenge,0,1,0%,56
